Total Items,,,,,,,,,,
Pass Items,,,,,,,,,,
Fail Items,,,,,,,,,,
NY Items,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Section,Main Title,Description,Testname,Priority,Method,Owner,Status,Milestone,Remark
,1,Kiểm tra thanh ghi,,,,,Huy,,,
,1.1,Kiểm tra đọc giá trị mặc định,"Sử dụng uvm_reg_hw_reset_seq của UVM_RAL để đọc giá trị mặc định của từng thanh ghi
Điều kiện đạt:
Giá trị mặc định của các thanh ghi được đọc ra đúng với đặc tả kỹ thuật",reg_default_test,High,UVM_RAL,Huy,,,
,1.2,Kiểm tra đọc và ghi,"Sử dụng uvm_reg_bit_bash_req của UVM_RAL để kiểm tra việc đọc ghi của từng thanh ghi.
Điều kiện đạt
Giá trị đọc ra của từng thanh ghi đúng với những giá trị đã ghi",reg_rw_test,High,UVM_RAL,Huy,,,
,1.3,Kiểm tra đọc ghi vào vùng rsvd ,"Ghi giá trị ngẫu nhiên và đọc nó từ các thanh ghi ngẫu nhiên có địa chỉ từ 0x4000_2018 đến 0x4000_2FFF
Điều kiện đạt: Giá trị đọc ra từ các thanh ghi đó là 0xFFFF_FFFF và Pslverr trigger",reg_rsvd_test,High,UVM_RAL,Huy,,,
,2,Kiểm tra quá trình tạo SCLK,,,,,,,,
,2.1,50MHz (tần số tạo được lớn nhất),"-Tạo ngẫu nhiên các thông số cấu hình và đảm bảo các thông số div_val = 1;
-Cấu hình DUT bằng cách ghi vào các thanh ghi ứng với giá trị cấu hình trên.
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên
Điều kiện đạt:
- Tất cả những dữ liệu nhận đều đúng với dữ liệu đã giử từ phía bên kia
- Waveform biểu diễn đúng tần số SCLK là 50MHz",SCLK_50MHz_test,High,Directed,Huy,,,
,2.2,"100MHz (Giá trị cấm của thanh ghi DLR 
và nằm ngoài tần số có thể tạo)","-Tạo ngẫu nhiên các thông số cấu hình và đảm bảo các thông số div_val = 0;
-Cấu hình DUT bằng cách ghi vào các thanh ghi ứng với giá trị cấu hình trên.
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên
Điều kiện đạt:
- Pslverr trigger và waveform biểu diễn SCLK với tần số mặc định 50Mhz
- Tất cả những dữ liệu nhận đều đúng với dữ liệu đã giử từ phía bên kia
",SCLK_over_test,High,Directed,Huy,,,
,2.3,Tần số ngẫu nhiên,"-Tạo ngẫu nhiên các thông số cấu hình
-Cấu hình DUT bằng cách ghi vào các thanh ghi ứng với giá trị cấu hình trên.
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên
Điều kiện đạt:
- Tất cả những dữ liệu nhận đều đúng với dữ liệu đã giử từ phía bên kia
- Waveform biểu diễn đúng tần số SCLK là đã tạo ngẫu nhiên",SCLK_random_test,High,Directed,Huy,,,
,3,Cấu hình đường truyền (Data x cpol x cpha) kết hợp với tất cả slaver,,,,,,,,
"Chế độ truyền không liên tục 
(Non countinous mode)",3.1,8 bits x cpol 0 x cpha 0,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 8, cpol =0, cpha = 0, cdte = 0 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và được nhả đúng thời gian truyền","spi_non_8bit_cpol0_cpha0_slaver0_test
spi_non_8bit_cpol0_cpha0_slaver1_test
spi_non_8bit_cpol0_cpha0_slaver2_test
spi_non_8bit_cpol0_cpha0_slaver3_test",,,,,,
